1,30133.3333,57633.3333
2,30166.6667,57100
3,30233.3333,57583.3333
4,30250,56850
5,30250,56950
6,30250,57583.3333
7,30300,56966.6667
8,30316.6667,56816.6667
9,30400,56466.6667
10,30400,56783.3333
11,30433.3333,57433.3333
12,30466.6667,56550
13,30483.3333,56516.6667
14,30500,56450
15,30500,56666.6667
16,30550,57866.6667
17,30566.6667,56883.3333
18,30600,57683.3333
19,30616.6667,56900
20,30633.3333,56166.6667
21,30683.3333,57033.3333
22,30683.3333,57516.6667
23,30716.6667,56600
24,30733.3333,56733.3333
25,30733.3333,57316.6667
26,30750,56750
27,30783.3333,57783.3333
28,30833.3333,56750
29,30866.6667,56366.6667
30,30900,55516.6667
31,30916.6667,56300
32,30933.3333,55483.3333
33,30933.3333,55550
34,30950,56650
35,30966.6667,55550
36,30966.6667,57533.3333
37,31000,55683.3333
38,31000,56250
39,31016.6667,56566.6667
40,31033.3333,56600
41,31033.3333,56883.3333
42,31083.3333,56016.6667
43,31083.3333,56516.6667
44,31083.3333,57016.6667
45,31083.3333,57516.6667
46,31083.3333,57600
47,31083.3333,57833.3333
48,31100,55666.6667
49,31100,55983.3333
50,31100,57016.6667
51,31116.6667,56466.6667
52,31166.6667,55750
53,31166.6667,57000
54,31166.6667,57083.3333
55,31183.3333,56283.3333
56,31183.3333,56933.3333
57,31200,55750
58,31200,57233.3333
59,31216.6667,55666.6667
60,31216.6667,56316.6667
61,31233.3333,55633.3333
62,31233.3333,55883.3333
63,31233.3333,57116.6667
64,31250,55333.3333
65,31250,55950
66,31250,56833.3333
67,31250,57166.6667
68,31250,57200
69,31283.3333,56433.3333
70,31300,55866.6667
71,31300,56016.6667
72,31300,57066.6667
73,31300,57100
74,31300,57133.3333
75,31300,57150
76,31300,57200
77,31300,57700
78,31316.6667,55200
79,31333.3333,57800
80,31333.3333,57833.3333
81,31333.3333,57883.3333
82,31350,55383.3333
83,31350,56633.3333
84,31350,57783.3333
85,31350,57800
86,31350,57983.3333
87,31366.6667,55083.3333
88,31366.6667,55666.6667
89,31366.6667,55850
90,31383.3333,55866.6667
91,31383.3333,57966.6667
92,31400,56366.6667
93,31400,57783.3333
94,31416.6667,54916.6667
95,31416.6667,56683.3333
96,31433.3333,55233.3333
97,31450,55416.6667
98,31450,56383.3333
99,31466.6667,55166.6667
100,31466.6667,56833.3333
101,31483.3333,54833.3333
102,31500,54716.6667
103,31500,55166.6667
104,31500,56033.3333
105,31500,57116.6667
106,31516.6667,54966.6667
107,31516.6667,55766.6667
108,31516.6667,55966.6667
109,31516.6667,57533.3333
110,31516.6667,57583.3333
111,31533.3333,55583.3333
112,31533.3333,55833.3333
113,31533.3333,56050
114,31550,55550
115,31550,57950
116,31566.6667,54550
117,31583.3333,55466.6667
118,31583.3333,57616.6667
119,31600,55850
120,31600,56750
121,31616.6667,56816.6667
122,31633.3333,55000
123,31633.3333,56916.6667
124,31650,56833.3333
125,31666.6667,56166.6667
126,31666.6667,56633.3333
127,31666.6667,57916.6667
128,31683.3333,54650
129,31683.3333,54766.6667
130,31683.3333,55433.3333
131,31683.3333,55950
132,31683.3333,56133.3333
133,31683.3333,57683.3333
134,31700,56100
135,31716.6667,55333.3333
136,31733.3333,54416.6667
137,31733.3333,55983.3333
138,31750,55016.6667
139,31750,55466.6667
140,31750,56066.6667
141,31766.6667,54800
142,31766.6667,56016.6667
143,31766.6667,56250
144,31783.3333,54333.3333
145,31783.3333,54750
146,31783.3333,55150
147,31783.3333,56250
148,31800,54716.6667
149,31800,55333.3333
150,31800,55700
151,31800,56133.3333
152,31816.6667,54666.6667
153,31816.6667,55183.3333
154,31816.6667,55216.6667
155,31816.6667,55500
156,31816.6667,55916.6667
157,31816.6667,55966.6667
158,31833.3333,54166.6667
159,31833.3333,55766.6667
160,31833.3333,55933.3333
161,31833.3333,55983.3333
162,31833.3333,57250
163,31850,56000
164,31866.6667,54200
165,31866.6667,57283.3333
166,31883.3333,55433.3333
167,31883.3333,55966.6667
168,31883.3333,56000
169,31883.3333,57333.3333
170,31883.3333,57483.3333
171,31883.3333,57516.6667
172,31900,54150
173,31900,54783.3333
174,31900,55133.3333
175,31900,55466.6667
176,31900,55883.3333
177,31916.6667,54733.3333
178,31916.6667,55933.3333
179,31916.6667,56016.6667
180,31916.6667,57250
181,31916.6667,57716.6667
182,31950,57883.3333
183,31966.6667,55050
184,31966.6667,57516.6667
185,31983.3333,54166.6667
186,31983.3333,55683.3333
187,31983.3333,57416.6667
188,32000,54133.3333
189,32000,55483.3333
190,32000,57166.6667
191,32000,57300
192,32000,57583.3333
193,32016.6667,54200
194,32016.6667,55066.6667
195,32016.6667,57333.3333
196,32016.6667,57466.6667
197,32033.3333,54183.3333
198,32033.3333,54566.6667
199,32033.3333,55666.6667
200,32033.3333,55783.3333
201,32050,54633.3333
202,32050,54866.6667
203,32050,55383.3333
204,32066.6667,53766.6667
205,32066.6667,56350
206,32083.3333,54250
207,32083.3333,55650
208,32083.3333,56866.6667
209,32083.3333,57916.6667
210,32100,53750
211,32100,54866.6667
212,32100,57416.6667
213,32100,57816.6667
214,32116.6667,54066.6667
215,32116.6667,57566.6667
216,32150,54200
217,32150,54883.3333
218,32150,54950
219,32150,55050
220,32150,56116.6667
221,32166.6667,53750
222,32166.6667,54116.6667
223,32166.6667,55016.6667
224,32166.6667,55950
225,32183.3333,55033.3333
226,32183.3333,55283.3333
227,32183.3333,56066.6667
228,32200,54066.6667
229,32200,58000
230,32216.6667,55600
231,32216.6667,56016.6667
232,32233.3333,54983.3333
233,32233.3333,55733.3333
234,32233.3333,56500
235,32250,55750
236,32250,56516.6667
237,32250,57300
238,32266.6667,54916.6667
239,32266.6667,55900
240,32283.3333,58050
241,32300,55333.3333
242,32321.3889,58075.5556
243,32333.3333,55883.3333
244,32333.3333,55966.6667
245,32333.3333,57050
246,32333.3333,57800
247,32333.3333,57933.3333
248,32333.3333,58133.3333
249,32350,53833.3333
250,32350,54133.3333
251,32350,55833.3333
252,32350,56550
253,32350,57200
254,32366.6667,54183.3333
255,32366.6667,54766.6667
256,32366.6667,57850
257,32366.6667,57983.3333
258,32383.3333,54350
259,32383.3333,54666.6667
260,32383.3333,55066.6667
261,32383.3333,56683.3333
262,32383.3333,57500
263,32383.3333,57600
264,32400,55350
265,32400,56716.6667
266,32400,56900
267,32416.6667,56166.6667
268,32416.6667,56333.3333
269,32416.6667,57383.3333
270,32416.6667,57583.3333
271,32416.6667,58150
272,32433.3333,56350
273,32450,55033.3333
274,32450,56033.3333
275,32466.6667,54316.6667
276,32466.6667,55233.3333
277,32466.6667,56166.6667
278,32483.3333,53516.6667
279,32483.3333,53716.6667
